3760 8617
1017 548 939721070
1138 249 181773509
1641 2169 31737336
1306 273 91282442
3473 567 378226559
2134 3507 491859012
873 1217 986189163
2740 1659 778878659
1520 1753 489491967
3447 261 406957080
541 3031 523473363
1473 779 252900668
328 1970 219502773
1440 304 555525106
1928 1377 175236870
1389 384 270831576
2250 1419 705309845
2326 2353 665867698
3597 3592 635309478
639 1358 449299183
2906 1455 473415595
2008 1373 767969052
832 2449 890320973
2923 3281 779025352
2951 492 195972923
1182 864 58887374
1600 673 737258500
364 84 685651224
1579 2346 592006281
36 133 73597114
364 741 237358278
1500 3120 425578129
2147 764 519283271
3001 3196 16776980
26 3242 55097702
2284 2641 193228017
3703 429 197106394
265 297 365379756
3474 2819 14866880
1328 2181 995894404
1938 373 368802865
3601 2669 643866117
2043 1128 954785734
230 3604 561512333
1733 2914 130151314
2332 2046 438884477
1613 2446 957785814
1535 919 740701567
1240 3041 634959327
1136 186 245781183
1134 3758 235105235
2311 2351 879643918
2015 658 382496470
1461 2765 62105235
2239 1873 923035972
3336 1655 143957009
89 1146 270036973
2301 1016 423125856
1167 1984 774706892
3126 1801 608091404
2572 2285 855486302
3324 2814 124276978
1734 3657 494360141
1315 1936 90485074
860 2137 243293982
1232 2874 282756380
1018 1890 339477386
1217 224 751324533
3385 419 221788783
3720 2788 31432141
2675 1513 146509366
1969 2751 115181099
3757 606 729080031
1996 421 138193018
3426 2966 433466772
502 1703 7512909
3691 1412 749302452
1140 2393 395625808
1969 2632 859638522
2457 3065 102028148
30 2661 513275701
1262 2473 298726360
2604 3756 216749567
3755 1992 665582299
2372 1357 680626854
267 21 509743962
705 1256 241680072
827 1489 519545614
249 1709 777098294
1081 961 630796034
916 40 478452744
3218 3383 912221857
2832 2902 530994
3084 2126 9639099
2082 2129 995920573
10 1517 165835089
1668 794 987829067
829 3238 580534211
593 477 312128672
2831 2088 907344927
3188 1287 616168575
2245 576 944762317
2025 2881 381451788
315 2069 639366806
3695 308 246369301
1739 161 914837994
330 527 924139478
899 1175 819107627
2291 2013 581958270
3193 868 483879819
2196 2026 593356997
1475 2865 581748420
3076 2313 760667318
1892 1754 547574568
909 2778 804072603
868 2217 933701745
2935 1683 794284705
3524 3724 632090410
1389 1033 873198687
2622 3044 777261176
1127 2839 522158328
3753 324 19688338
750 3511 720565232
2562 569 909331275
2872 19 368756701
1178 1539 708471914
2719 1030 156423396
3324 869 244349255
1119 1924 372375399
3460 889 68166791
487 2716 480780301
1127 202 734944039
2320 861 207104096
1056 716 2529409
1513 637 829232155
3292 1295 195119321
841 928 814376852
1582 648 724315936
717 677 902411199
420 374 409035694
3600 1817 886832915
2699 1120 562099740
133 3619 913123340
261 3381 22050246
556 1739 985183912
3587 3265 183911481
2700 2207 966744466
2658 1535 909284637
2908 2284 167769495
2298 1057 267573515
3474 1317 135451584
699 947 190975808
1464 3431 820582972
2270 1599 624528877
3307 2463 51929239
1354 2854 291496799
3227 2885 712110827
229 2703 600198195
371 586 905112833
2443 1536 581013031
2082 2998 137851873
373 3703 350290621
703 2027 722949060
334 1623 985833510
1892 2657 829485387
2622 2910 718117062
1515 156 677199701
2898 2462 599707684
2171 2651 525541268
1617 173 727867835
2143 382 335402029
545 2951 130810302
2690 808 621192392
3566 2196 845849376
2566 908 861945030
1965 630 400570632
3737 832 807500121
3473 134 391576094
280 3218 176915850
607 762 503999771
1413 3504 714066078
1136 2421 185470466
2857 2951 171370043
2591 1721 855826799
2345 2824 506590319
1867 2715 812113033
1954 434 435079364
66 2725 715538839
1467 1582 303470541
1040 1311 674901410
420 276 824014497
2839 1055 854839216
3586 1533 777717807
42 2414 666337041
3601 1081 768105226
